group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
run_plag cli + html + no-open-html,,,,,87013141.0,ns,1
run_plag cli + html + no-open-html,,,,,173859159.0,ns,2
run_plag cli + html + no-open-html,,,,,260852806.0,ns,3
run_plag cli + html + no-open-html,,,,,340862917.0,ns,4
run_plag cli + html + no-open-html,,,,,438458593.0,ns,5
run_plag cli + html + no-open-html,,,,,517025771.0,ns,6
run_plag cli + html + no-open-html,,,,,601612703.0,ns,7
run_plag cli + html + no-open-html,,,,,693980870.0,ns,8
run_plag cli + html + no-open-html,,,,,786584234.0,ns,9
run_plag cli + html + no-open-html,,,,,870989228.0,ns,10
run_plag cli + html + no-open-html,,,,,950166683.0,ns,11
run_plag cli + html + no-open-html,,,,,1041006723.0,ns,12
run_plag cli + html + no-open-html,,,,,1132483673.0,ns,13
run_plag cli + html + no-open-html,,,,,1216115229.0,ns,14
run_plag cli + html + no-open-html,,,,,1310026967.0,ns,15
run_plag cli + html + no-open-html,,,,,1385153296.0,ns,16
run_plag cli + html + no-open-html,,,,,1475762661.0,ns,17
run_plag cli + html + no-open-html,,,,,1555169060.0,ns,18
run_plag cli + html + no-open-html,,,,,1642975998.0,ns,19
run_plag cli + html + no-open-html,,,,,1729677986.0,ns,20
run_plag cli + html + no-open-html,,,,,1810948014.0,ns,21
run_plag cli + html + no-open-html,,,,,1902036872.0,ns,22
run_plag cli + html + no-open-html,,,,,1989019473.0,ns,23
run_plag cli + html + no-open-html,,,,,2076765902.0,ns,24
run_plag cli + html + no-open-html,,,,,2181083114.0,ns,25
run_plag cli + html + no-open-html,,,,,2275643542.0,ns,26
run_plag cli + html + no-open-html,,,,,2348694054.0,ns,27
run_plag cli + html + no-open-html,,,,,2684096929.0,ns,28
run_plag cli + html + no-open-html,,,,,2571861067.0,ns,29
run_plag cli + html + no-open-html,,,,,2703891480.0,ns,30
run_plag cli + html + no-open-html,,,,,2857051259.0,ns,31
run_plag cli + html + no-open-html,,,,,2772587101.0,ns,32
run_plag cli + html + no-open-html,,,,,3012968613.0,ns,33
run_plag cli + html + no-open-html,,,,,3007213854.0,ns,34
run_plag cli + html + no-open-html,,,,,3042386578.0,ns,35
run_plag cli + html + no-open-html,,,,,3430741973.0,ns,36
run_plag cli + html + no-open-html,,,,,3431641063.0,ns,37
run_plag cli + html + no-open-html,,,,,3578799220.0,ns,38
run_plag cli + html + no-open-html,,,,,3523733729.0,ns,39
run_plag cli + html + no-open-html,,,,,3574811721.0,ns,40
run_plag cli + html + no-open-html,,,,,3718974923.0,ns,41
run_plag cli + html + no-open-html,,,,,3982517734.0,ns,42
run_plag cli + html + no-open-html,,,,,4017521000.0,ns,43
run_plag cli + html + no-open-html,,,,,3931573762.0,ns,44
run_plag cli + html + no-open-html,,,,,4032690283.0,ns,45
run_plag cli + html + no-open-html,,,,,4119768914.0,ns,46
run_plag cli + html + no-open-html,,,,,4175319728.0,ns,47
run_plag cli + html + no-open-html,,,,,4252777091.0,ns,48
run_plag cli + html + no-open-html,,,,,4349148340.0,ns,49
run_plag cli + html + no-open-html,,,,,4425972075.0,ns,50
run_plag cli + html + no-open-html,,,,,4536887283.0,ns,51
run_plag cli + html + no-open-html,,,,,4653909185.0,ns,52
run_plag cli + html + no-open-html,,,,,4760183759.0,ns,53
run_plag cli + html + no-open-html,,,,,4774681804.0,ns,54
run_plag cli + html + no-open-html,,,,,4730440650.0,ns,55
run_plag cli + html + no-open-html,,,,,4728487944.0,ns,56
run_plag cli + html + no-open-html,,,,,4797452077.0,ns,57
run_plag cli + html + no-open-html,,,,,4822140685.0,ns,58
run_plag cli + html + no-open-html,,,,,4931771238.0,ns,59
run_plag cli + html + no-open-html,,,,,5172450922.0,ns,60
run_plag cli + html + no-open-html,,,,,5117716172.0,ns,61
run_plag cli + html + no-open-html,,,,,5151974069.0,ns,62
run_plag cli + html + no-open-html,,,,,5272855311.0,ns,63
run_plag cli + html + no-open-html,,,,,5399462122.0,ns,64
run_plag cli + html + no-open-html,,,,,5446537104.0,ns,65
run_plag cli + html + no-open-html,,,,,5601835871.0,ns,66
run_plag cli + html + no-open-html,,,,,5576943477.0,ns,67
run_plag cli + html + no-open-html,,,,,5623454872.0,ns,68
run_plag cli + html + no-open-html,,,,,5739306965.0,ns,69
run_plag cli + html + no-open-html,,,,,5792302107.0,ns,70
run_plag cli + html + no-open-html,,,,,5902546988.0,ns,71
run_plag cli + html + no-open-html,,,,,5959738218.0,ns,72
run_plag cli + html + no-open-html,,,,,6062617297.0,ns,73
run_plag cli + html + no-open-html,,,,,6128399063.0,ns,74
run_plag cli + html + no-open-html,,,,,6206044158.0,ns,75
run_plag cli + html + no-open-html,,,,,6287372224.0,ns,76
run_plag cli + html + no-open-html,,,,,6367793350.0,ns,77
run_plag cli + html + no-open-html,,,,,6450902995.0,ns,78
run_plag cli + html + no-open-html,,,,,6576724073.0,ns,79
run_plag cli + html + no-open-html,,,,,6654528280.0,ns,80
run_plag cli + html + no-open-html,,,,,6686118679.0,ns,81
run_plag cli + html + no-open-html,,,,,6792676032.0,ns,82
run_plag cli + html + no-open-html,,,,,6872063457.0,ns,83
run_plag cli + html + no-open-html,,,,,6927808528.0,ns,84
run_plag cli + html + no-open-html,,,,,7050157144.0,ns,85
run_plag cli + html + no-open-html,,,,,7134933080.0,ns,86
run_plag cli + html + no-open-html,,,,,7232071341.0,ns,87
run_plag cli + html + no-open-html,,,,,7848282013.0,ns,88
run_plag cli + html + no-open-html,,,,,7629077775.0,ns,89
run_plag cli + html + no-open-html,,,,,7559761255.0,ns,90
run_plag cli + html + no-open-html,,,,,7628741967.0,ns,91
run_plag cli + html + no-open-html,,,,,7732180446.0,ns,92
run_plag cli + html + no-open-html,,,,,8030841014.0,ns,93
run_plag cli + html + no-open-html,,,,,7839071370.0,ns,94
run_plag cli + html + no-open-html,,,,,8667725300.0,ns,95
run_plag cli + html + no-open-html,,,,,8565740604.0,ns,96
run_plag cli + html + no-open-html,,,,,8670531934.0,ns,97
run_plag cli + html + no-open-html,,,,,8820129140.0,ns,98
run_plag cli + html + no-open-html,,,,,8879973985.0,ns,99
run_plag cli + html + no-open-html,,,,,8942024242.0,ns,100
